date,R_F,R_MKT,R_ME,R_IA,R_ROE,R_EG,MOM
199107,0.484,4.2415,-0.5313,-0.656,3.061,0.3612,4.24
199108,0.461,2.315,1.2954,-0.0464,1.1455,-0.2482,1.57
199109,0.4558,-1.5905,1.8119,-0.824,-0.367,0.2138,1.79
199110,0.4246,1.2859,0.554,1.3506,-0.0233,3.2052,3.06
199111,0.3915,-4.1854,-0.2715,0.2786,3.3179,0.4173,1.14
199112,0.3792,10.8282,-1.4904,-2.0414,6.7612,-0.4691,8.19
199201,0.3059,-0.5576,8.3502,1.5127,-4.1068,1.542,-2.49
199202,0.2828,1.0845,1.4008,2.2591,0.7471,2.2073,-0.53
199203,0.3376,-2.654,-1.2085,1.9963,1.013,1.9936,-0.29
199204,0.3303,1.0759,-6.9442,1.7888,-1.7091,1.9739,-2.58
199205,0.2758,0.2999,-0.2592,0.2978,-0.2058,-0.7497,0.21
199206,0.3201,-2.3291,-2.639,0.6456,1.0292,0.7977,-0.58
199207,0.2892,3.7905,-0.8361,0.4045,2.5413,0.0568,1.59
199208,0.2605,-2.3768,-0.3076,-0.7904,1.5188,-0.9025,-0.51
199209,0.2573,1.1929,0.6785,-0.3989,2.3975,-0.8834,1.5
199210,0.2286,1.016,1.5417,-0.374,2.1317,0.5956,2.48
199211,0.2346,4.1282,3.6824,-1.1853,0.9419,-0.1686,-0.15
199212,0.227,1.5885,2.7403,1.4042,1.8351,1.0366,4.31
199301,0.2335,0.9306,2.3205,2.9756,-1.4524,0.0247,4.84
199302,0.2209,0.1217,-3.3241,3.6485,-1.4498,2.393,3.14
199303,0.2538,2.3138,-0.0213,0.9153,1.8026,0.5161,3.73
199304,0.2372,-3.0466,-1.1614,1.2062,-3.0094,2.0753,0.38
199305,0.2168,2.8845,1.8028,-0.8324,-0.5745,-0.3593,0.22
199306,0.2756,0.2822,1.5873,1.8188,3.0181,1.4058,4.55
199307,0.2402,-0.344,1.3951,1.4477,-0.5825,0.7912,3.19
199308,0.253,3.7117,-0.0209,-0.0505,0.4747,0.7651,2.65
199309,0.2356,-0.1006,3.1012,0.2582,0.9326,1.4091,3.37
199310,0.221,1.4145,0.4139,-0.5567,-1.4235,-1.1779,-2.72
199311,0.2477,-1.8646,-1.8754,-0.7414,-0.7395,0.1227,-4.74
199312,0.2263,1.6455,2.1113,-0.2615,2.3815,2.2577,2.36
199401,0.2503,2.8658,0.1606,1.124,-0.9212,0.9317,0
