date,Mom   
19890322,0.32
19890323,-0.07
19890327,0.11
19890328,0.32
19890329,0.18
19890330,0.08
19890331,-0.16
19890403,0.02
19890404,0.18
19890405,0.15
19890406,-0.24
19890407,-0.16
19890410,0.05
19890411,-0.03
19890412,0.1
19890413,-0.23
19890414,0.2
19890417,0.19
19890418,0.26
19890419,0.1
19890420,-0.12
19890421,0.18
19890424,0.15
19890425,0.11
19890426,0.19
19890427,0.18
19890428,0.3
19890501,-0.08
19890502,0.26
19890503,-0.11
19890504,-0.09
19890505,0.34
19890508,-0.16
19890509,-0.12
19890510,0
19890511,0.19
19890512,0.32
19890515,0.22
19890516,0.19
19890517,0.23
19890518,0
19890519,0.12
19890522,0.36
19890523,-0.19
19890524,0
19890525,-0.08
19890526,0.12
19890530,0.06
19890531,0.01
19890601,0.04
19890602,0.45
19890605,-0.04
19890606,-0.29
19890607,0.52
19890608,0.2
19890609,0.17
19890612,-0.09
19890613,-0.43
19890614,0.05
19890615,-0.1
19890616,0.01
19890619,0.13
19890620,0.09
19890621,0.2
19890622,0.42
19890623,0.53
19890626,-0.13
19890627,-0.21
19890628,-0.04
19890629,-0.33
19890630,-0.48
19890703,0.1
19890705,0.41
19890706,0.4
19890707,0.72
19890710,0.05
19890711,0.63
19890712,-0.09
19890713,0.06
19890714,0.07
19890717,0.17
19890718,0.38
19890719,0.45
19890720,0.16
19890721,-0.21
19890724,0.31
19890725,0.66
19890726,0.59
19890727,0.25
19890728,0.09
19890731,-0.08
19890801,0.18
19890802,-0.11
19890803,-0.11
19890804,-0.92
19890807,-0.16
19890808,-0.04
19890809,0.32
19890810,0.18
19890811,-0.01
19890814,-0.35
19890815,-0.2
19890816,0.33
19890817,0.42
19890818,-0.06
19890821,-0.08
19890822,-0.21
19890823,0.29
19890824,0.59
19890825,0.12
19890828,-0.11
19890829,0.07
19890830,-0.22
19890831,-0.3
19890901,0.16
19890905,0.16
19890906,-0.26
19890907,-0.09
19890908,-0.14
19890911,-0.08
19890912,-0.07
19890913,0.29
19890914,-0.29
19890915,0.13
19890918,0.2
19890919,0.3
19890920,0.02
19890921,0.05
19890922,0.26
19890925,-0.02
19890926,0.36
19890927,1.11
19890928,1.21
19890929,0.31
19891002,0.43
19891003,1.18
19891004,0.15
19891005,0.45
19891006,0.68
19891009,-0.24
19891010,0.13
19891011,-0.26
19891012,-0.03
19891013,-1.33
19891016,0.71
19891017,0.07
19891018,0.29
19891019,0.92
19891020,0.17
19891023,0.35
19891024,-0.31
19891025,0.34
19891026,-0.21
19891027,-0.9
19891030,0.41
19891031,0.34
19891101,0.31
19891102,-0.03
19891103,0.16
19891106,-0.31
19891107,-0.1
19891108,0.97
19891109,0.21
19891110,0.28
19891113,-0.03
19891114,-0.1
19891115,0.5
19891116,0.36
19891117,-0.27
19891120,0.32
19891121,-0.04
19891122,0.01
19891124,-0.05
19891127,0.18
19891128,-0.16
19891129,0
19891130,0.17
19891201,0.51
19891204,-0.01
19891205,0.17
19891206,0.08
19891207,-0.12
19891208,0.07
19891211,0.27
19891212,0.25
19891213,0.56
19891214,0.09
19891215,0.04
19891218,-0.44
19891219,0.02
19891220,-0.11
19891221,0.16
19891222,0.46
19891226,-0.03
19891227,-0.06
19891228,0.53
19891229,0.23
19900102,-1.09
19900103,-0.31
19900104,-0.38
19900105,-0.33
19900108,0.18
19900109,0.15
19900110,-0.16
19900111,-0.09
19900112,-0.28
19900115,-0.38
19900116,-0.22
19900117,0.28
19900118,0.3
19900119,0.71
19900122,0.03
19900123,-0.01
19900124,-0.26
19900125,0.08
19900126,-0.24
19900129,-0.24
19900130,-0.73
19900131,0.2
19900201,0.56
19900202,0.47
19900205,-0.15
19900206,-0.18
19900207,-0.07
19900208,0.41
19900209,0.24
19900212,0.17
19900213,-0.26
19900214,-0.09
19900215,0.28
19900216,-0.06
19900220,-0.07
19900221,-0.72
19900222,0.17
19900223,-0.42
19900226,-0.13
19900227,0.19
19900228,-0.42
19900301,0.29
19900302,-0.03
19900305,-0.17
19900306,0.14
19900307,-0.08
19900308,-0.36
19900309,-0.01
19900312,0.03
19900313,-0.25
19900314,0.05
19900315,0.67
19900316,0.22
19900319,-0.14
19900320,0.2
19900321,0.11
19900322,0.09
19900323,0.23
19900326,-0.24
19900327,0.1
19900328,0.07
19900329,0.31
19900330,0.4
19900402,0.17
19900403,0.12
19900404,0.31
19900405,0.56
19900406,0.39
19900409,-0.25
19900410,-0.13
19900411,-0.61
19900412,0.02
19900416,0.34
19900417,0.17
